"","pair","from","to","n","cumsum","percent","lat_from","lon_from","lat_to","lon_to","dist"
"1","AEP-COR","AEP","COR",20570,0.0804751043594268,0.0804751043594268,-34.5592,-58.4156,-31.323601,-64.208,649.131068000237
"2","AEP-BRC","AEP","BRC",15187,0.139890535079243,0.059415430719816,-34.5592,-58.4156,-41.1511993408,-71.1575012207,1335.25291323595
"3","AEP-MDZ","AEP","MDZ",15037,0.198719127410439,0.0588285923311959,-34.5592,-58.4156,-32.8316993713,-68.7929000854,978.593522270588
"4","AEP-SLA","AEP","SLA",12901,0.249191141087685,0.0504720136772467,-34.5592,-58.4156,-24.8560009003,-65.4861984253,1275.96916558133
"5","AEP-IGR","AEP","IGR",12523,0.29818432202561,0.0489931809379242,-34.5592,-58.4156,-25.7373008728,-54.473400116,1051.36156141707
"6","AEP-NQN","AEP","NQN",11198,0.341993763864057,0.0438094418384473,-34.5592,-58.4156,-38.9490013123,-68.1557006836,994.797266841656
"7","AEP-CRD","AEP","CRD",8547,0.375431815247626,0.0334380513835693,-34.5592,-58.4156,-45.7853,-67.4655,1463.89865362164
"8","AEP-TUC","AEP","TUC",8426,0.408396483664375,0.0329646684167492,-34.5592,-58.4156,-26.8409,-65.104897,1069.68446118843
"9","AEP-USH","AEP","USH",7485,0.437679719256515,0.0292832355921395,-34.5592,-58.4156,-54.8433,-68.2958,2381.38232211113
"10","AEP-BHI","AEP","BHI",6858,0.464509970384223,0.0268302511277078,-34.5592,-58.4156,-38.725,-62.1693,571.476873342855
"11","AEP-FTE","AEP","FTE",5627,0.486524234469322,0.0220142640850994,-34.5592,-58.4156,-50.2803,-72.053101,2068.49611997712
"12","AEP-RES","AEP","RES",5060,0.506320249445438,0.0197960149761157,-34.5592,-58.4156,-27.45,-59.0561,792.854187864759
"13","AEP-MDQ","AEP","MDQ",4424,0.523628069653804,0.0173078202083667,-34.5592,-58.4156,-37.9342,-57.5733,382.803257005086
"14","AEP-JUJ","AEP","JUJ",4320,0.540529015246061,0.0169009455922569,-34.5592,-58.4156,-24.3927993774,-65.0978012085,1301.56423908006
"15","AEP-UAQ","AEP","UAQ",4277,0.55726173383358,0.0167327185875191,-34.5592,-58.4156,-31.571501,-68.418198,988.985039468328
"16","AEP-PSS","AEP","PSS",3907,0.57254691772917,0.0152851838955897,-34.5592,-58.4156,-27.3858,-55.9707,830.916908497093
"17","COR-EZE","COR","EZE",3720,0.587100509766947,0.0145535920377767,-31.323601,-64.208,-34.8222,-58.5358,656.063174562069
"18","AEP-REL","AEP","REL",3711,0.601618891501406,0.0145183817344595,-34.5592,-58.4156,-43.2105,-65.2703,1129.28336443293
"19","AEP-RGL","AEP","RGL",3690,0.616055115861459,0.0144362243600527,-34.5592,-58.4156,-51.6089,-69.3126,2086.912120765
"20","EZE-MDZ","EZE","MDZ",3459,0.629587609103037,0.0135324932415779,-34.8222,-58.5358,-32.8316993713,-68.7929000854,972.48769790091
"21","AEP-ROS","AEP","ROS",2999,0.641320464619514,0.0117328555164765,-34.5592,-58.4156,-32.9036,-60.785,286.16493512126
"22","COR-MDZ","COR","MDZ",2961,0.652904654410873,0.0115841897913594,-31.323601,-64.208,-32.8316993713,-68.7929000854,463.334584364926
"23","AEP-EZE","AEP","EZE",2836,0.663999812211716,0.0110951578008427,-34.5592,-58.4156,-34.8222,-58.5358,31.2410023753717
"24","AEP-FMA","AEP","FMA",2781,0.674879795936731,0.0108799837250154,-34.5592,-58.4156,-26.2127,-58.2281,928.262077184171
"25","AEP-PRA","AEP","PRA",2641,0.685212063832368,0.0103322678956367,-34.5592,-58.4156,-31.7948,-60.4804,362.488287183049
"26","FTE-USH","FTE","USH",2574,0.695282210581087,0.0100701467487197,-50.2803,-72.053101,-54.8433,-68.2958,567.202602072938
"27","AEP-LUQ","AEP","LUQ",2551,0.705262375443552,0.00998016486246464,-34.5592,-58.4156,-33.2732009888,-66.3563995361,746.349851770207
"28","AEP-SDE","AEP","SDE",2464,0.714902174040617,0.00963979859706503,-34.5592,-58.4156,-27.7655563354,-64.3099975586,940.40642262671
"29","AEP-CNQ","AEP","CNQ",2424,0.724385482400717,0.00948330836009968,-34.5592,-58.4156,-27.4455,-58.7619,791.693818310053
"30","EZE-ROS","EZE","ROS",2337,0.733528424495417,0.00914294209470007,-34.8222,-58.5358,-32.9036,-60.785,297.71042490318
"31","MDZ-NQN","MDZ","NQN",2239,0.742287965509552,0.00875954101413498,-32.8316993713,-68.7929000854,-38.9490013123,-68.1557006836,682.624694273032
"32","AEP-RCU","AEP","RCU",1925,0.749819058163509,0.00753109265395705,-34.5592,-58.4156,-33.0850982666,-64.2612991333,564.235864221372
"33","AEP-RGA","AEP","RGA",1829,0.756974574248749,0.00715551608524023,-34.5592,-58.4156,-53.7777,-67.7494,2258.39334416189
"34","BRC-EZE","BRC","EZE",1778,0.763930565281858,0.00695599103310942,-41.1511993408,-71.1575012207,-34.8222,-58.5358,1308.98105375333
"35","AEP-IRJ","AEP","IRJ",1753,0.770788749916865,0.00685818463500608,-34.5592,-58.4156,-29.3815994263,-66.7957992554,977.295189268469
"36","AEP-CPC","AEP","CPC",1674,0.777337866333864,0.00654911641699953,-34.5592,-58.4156,-40.0754013062,-71.137298584,1279.55918543179
"37","AEP-PMY","AEP","PMY",1579,0.783515318438071,0.00617745210420685,-34.5592,-58.4156,-42.7592,-65.1027,1080.13124649321
"38","AEP-CTC","AEP","CTC",1571,0.789661472494885,0.00614615405681378,-34.5592,-58.4156,-28.5956001282,-65.751701355,959.989453449234
"39","EZE-SLA","EZE","SLA",1495,0.795510295101464,0.00584882260657963,-34.8222,-58.5358,-24.8560009003,-65.4861984253,1294.26295118824
"40","CRD-NQN","CRD","NQN",1485,0.801319995148803,0.0058097000473383,-45.7853,-67.4655,-38.9490013123,-68.1557006836,762.264920685486
"41","AEP-AFA","AEP","AFA",1458,0.807024064286189,0.00570406913738669,-34.5592,-58.4156,-34.588299,-68.4039,914.135927653481
"42","EZE-IGR","EZE","IGR",1456,0.812720308911728,0.00569624462553842,-34.8222,-58.5358,-25.7373008728,-54.473400116,1082.59094232567
"43","COR-SLA","COR","SLA",1311,0.817849276428267,0.00512896751653906,-31.323601,-64.208,-24.8560009003,-65.4861984253,729.991995696251
"44","AEP-EQS","AEP","EQS",1302,0.822943033641489,0.00509375721322186,-34.5592,-58.4156,-42.908000946,-71.139503479,1439.30533463219
"45","AEP-RSA","AEP","RSA",1254,0.827849002570352,0.00490596892886345,-34.5592,-58.4156,-36.588299,-64.275703,575.891441627817
"46","BRC-COR","BRC","COR",1101,0.832156396342823,0.00430739377247102,-41.1511993408,-71.1575012207,-31.323601,-64.208,1256.97483402678
"47","COR-ROS","COR","ROS",1089,0.836416843044205,0.00426044670138142,-31.323601,-64.208,-32.9036,-60.785,367.116310292154
"48","EZE-MDQ","EZE","MDQ",1082,0.840649903954117,0.00423306090991248,-34.8222,-58.5358,-37.9342,-57.5733,356.598916921949
"49","COR-IGR","COR","IGR",1078,0.844867315840333,0.00421741188621595,-31.323601,-64.208,-25.7373008728,-54.473400116,1135.06945015119
"50","BHI-MDQ","BHI","MDQ",1070,0.849053429679156,0.00418611383882288,-38.725,-62.1693,-37.9342,-57.5733,410.378752454714
"51","COR-CRD","COR","CRD",1065,0.853219982238358,0.00416655255920221,-31.323601,-64.208,-45.7853,-67.4655,1632.4419025594
"52","AEP-SFN","AEP","SFN",1046,0.857312201935002,0.00409221969664368,-34.5592,-58.4156,-31.7117,-60.8117,387.303687839139
"53","EZE-RGA","EZE","RGA",1013,0.861275317186149,0.00396311525114727,-34.8222,-58.5358,-53.7777,-67.7494,2227.25138914169
