code,name,type,province
AR-C,Ciudad Autónoma de Buenos Aires,city,Buenos Aires Province
AR-B,Buenos Aires Province,province,Buenos Aires Province
AR-K,Catamarca,province,Catamarca
AR-H,Chaco,province,Chaco
AR-U,Chubut,province,Chubut
AR-X,Córdoba,province,Córdoba
AR-W,Corrientes,province,Corrientes
AR-E,Entre Ríos,province,Entre Ríos
AR-P,Formosa,province,Formosa
AR-Y,Jujuy,province,Jujuy
AR-L,La Pampa,province,La Pampa
AR-F,La Rioja,province,La Rioja
AR-M,Mendoza,province,Mendoza
AR-N,Misiones,province,Misiones
AR-Q,Neuquén,province,Neuquén
AR-R,Río Negro,province,Río Negro
AR-A,Salta,province,Salta
AR-J,San Juan,province,San Juan
AR-D,San Luis,province,San Luis
AR-Z,Santa Cruz,province,Santa Cruz
AR-S,Santa Fe,province,Santa Fe
AR-G,Santiago del Estero,province,Santiago del Estero
AR-V,Tierra del Fuego,province,Tierra del Fuego
AR-T,Tucumán,province,Tucumán
